TimeL;TimeGln(hms);TimeGln(sec.);TimeGps(sec.);S(2)E1B;dS(2)E1B;Fi(2)E1B;S(4)E1B;dS(4)E1B;Fi(4)E1B;S(10)E1B;dS(10)E1B;Fi(10)E1B;S(11)E1B;dS(11)E1B;Fi(11)E1B;S(12)E1B;dS(12)E1B;Fi(12)E1B;S(16)E1B;dS(16)E1B;Fi(16)E1B;S(19)E1B;dS(19)E1B;Fi(19)E1B;S(25)E1B;dS(25)E1B;Fi(25)E1B;S(29)E1B;dS(29)E1B;Fi(29)E1B;S(36)E1B;dS(36)E1B;Fi(36)E1B
153;12:36:45.000;45405;34623;;;;;;;23599581.04;52.63345;-23599580.24;;;;24110420.53;291.26056;-24110423.92;;;;;;;24628046.08;229.80957;-24628046.51;27128010.86;51.83328;-27128010.3;;;
154;12:36:46.000;45406;34624;;;;;;;23599634.59;52.653;-23599632.89;;;;24110713.95;291.26898;-24110715.19;;;;;;;24628276.13;229.8629;-24628276.37;27128059.98;51.88638;-27128062.19;;;
155;12:36:47.000;45407;34625;;;;;;;23599686.22;52.71963;-23599685.61;;;;24111006.05;291.31995;-24111006.51;;;;;;;24628505.23;229.95534;-24628506.33;27128110.76;51.9857;-27128114.18;;;
156;12:36:48.000;45408;34626;;;;;;;23599737.07;52.74634;-23599738.36;;;;24111295.85;291.3298;-24111297.84;;;;;;;24628736.11;230.011;-24628736.34;27128164.35;52.05347;-27128166.23;;;
157;12:36:49.000;45409;34627;;;;;;;23599790.92;52.79618;-23599791.15;;;;24111587.17;291.37317;-24111589.22;;;;;;;24628966.76;230.08878;-24628966.43;27128217.26;52.13329;-27128218.36;;;
158;12:36:50.000;45410;34628;;;;;;;23599843.02;52.85589;-23599844.01;;;;24111877.18;291.41937;-24111880.64;;;;;;;24629195.38;230.17741;-24629196.6;27128266.82;52.22988;-27128270.59;;;
159;12:36:51.000;45411;34629;;;;;;;23599896.85;52.90635;-23599896.91;;;;24112170.17;291.45935;-24112172.1;;;;;;;24629425.72;230.25591;-24629426.86;27128319.13;52.31672;-27128322.91;;;
160;12:36:52.000;45412;34630;;;;;;;23599949.99;52.92808;-23599949.84;;;;24112460.73;291.46219;-24112463.56;;;;;;;24629655.78;230.30814;-24629657.17;27128372.25;52.37495;-27128375.29;;;
161;12:36:53.000;45413;34631;;;;;;;23600002.91;52.94676;-23600002.79;;;;24112752.52;291.46829;-24112755.03;;;;;;;24629885.97;230.35104;-24629887.52;27128423.5;52.427;-27128427.71;;;
162;12:36:54.000;45414;34632;;;;;;;23600057.02;52.98236;-23600055.77;;;;24113041.89;291.49527;-24113046.52;;;;;;;24630117.16;230.41455;-24630117.93;27128474.87;52.50116;-27128480.21;;;
163;12:36:55.000;45415;34633;;;;;;;23600110.03;53.08737;-23600108.86;;;;24113333.84;291.58539;-24113338.11;;;;;;;24630346.7;230.55466;-24630348.49;27128526.57;52.64373;-27128532.86;;;
164;12:36:56.000;45416;34634;;;;;;;23600162.63;53.12482;-23600161.98;;;;24113625.64;291.61026;-24113629.72;;;;;;;24630578.68;230.6152;-24630579.1;27128582.08;52.71363;-27128585.57;;;
165;12:36:57.000;45417;34635;;;;;;;23600215.52;53.13666;-23600215.12;;;;24113916.7;291.60629;-24113921.32;;;;;;;24630809.8;230.65611;-24630809.76;27128634.33;52.75885;-27128638.33;;;
166;12:36:58.000;45418;34636;;;;;;;23600268.81;53.20917;-23600268.33;;;;24114209.74;291.67618;-24114213;;;;;;;24631040.12;230.75835;-24631040.52;27128685.76;52.87014;-27128691.2;;;
167;12:36:59.000;45419;34637;;;;;;;23600323.07;53.22931;-23600321.56;;;;24114501.8;291.68228;-24114504.68;;;;;;;24631271.94;230.80734;-24631271.33;27128739.08;52.92558;-27128744.13;;;
168;12:37:00.000;45420;34638;;;;;;;23600375.47;53.27801;-23600374.84;;;;24114793.46;291.71356;-24114796.4;;;;;;;24631502.54;230.88223;-24631502.21;27128790.43;53.00824;-27128797.13;;;
