Time;S(1);dS(1);X(1);Y(1);Z(1);S(2);dS(2);X(2);Y(2);Z(2);S(3);dS(3);X(3);Y(3);Z(3);S(4);dS(4);X(4);Y(4);Z(4);S(5);dS(5);X(5);Y(5);Z(5);S(6);dS(6);X(6);Y(6);Z(6);S(7);dS(7);X(7);Y(7);Z(7);S(8);dS(8);X(8);Y(8);Z(8);S(9);dS(9);X(9);Y(9);Z(9);S(10);dS(10);X(10);Y(10);Z(10);S(11);dS(11);X(11);Y(11);Z(11);S(12);dS(12);X(12);Y(12);Z(12);S(13);dS(13);X(13);Y(13);Z(13);S(14);dS(14);X(14);Y(14);Z(14);S(15);dS(15);X(15);Y(15);Z(15);S(16);dS(16);X(16);Y(16);Z(16);S(17);dS(17);X(17);Y(17);Z(17);S(18);dS(18);X(18);Y(18);Z(18);S(19);dS(19);X(19);Y(19);Z(19);S(20);dS(20);X(20);Y(20);Z(20);S(21);dS(21);X(21);Y(21);Z(21);S(22);dS(22);X(22);Y(22);Z(22);S(23);dS(23);X(23);Y(23);Z(23);S(24);dS(24);X(24);Y(24);Z(24);
45325.000000;20714862.2349119670;105.5193618200;-3626332.3483356736;13616735.8279509210;21259670.4707959000;21471501.5300213360;-633.4678878624;7004248.4637469891;22807720.9354709010;9159880.7027173340;;;;;;;;;;;;;;;;;;;;;;;;;;23623867.7685432960;694.5735896327;-13066204.6042743830;-3336437.9274880881;21709148.2191980820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21229442.5527753350;236.4126766911;16355536.1885746160;-7903857.0142173292;17902096.1121384800;19275756.8183795470;18.0188004977;7793701.3693589251;7740018.8200341249;23020198.1016945240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45326.000000;20714968.6017542030;106.4357615298;-3627716.0700772642;13614172.1847481580;21261078.1936244630;21470868.9292853660;-632.6140668840;7003859.6619057050;22806519.9499711800;9163179.2649381980;;;;;;;;;;;;;;;;;;;;;;;;;;23624563.1257517490;695.4159047268;-13067650.1151096540;-3339020.2935420522;21707874.3373310120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21229679.8261130900;237.3270122256;16357988.4787946590;-7903883.4503831835;17899838.2893569250;19275775.6740765530;18.8669986029;7792032.6220609453;7742694.6892731395;23019859.0681297780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45327.000000;20715075.8166849760;107.3068550592;-3629100.0979177207;13611608.4888570160;21262485.4056925890;21470237.0919423620;-631.8111677120;7003470.5548917465;22805318.5979427470;9166477.6082903910;;;;;;;;;;;;;;;;;;;;;;;;;;23625259.2073380800;696.1768047288;-13069095.7600740940;-3341602.3868345832;21706599.9371067550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21229917.9858406040;238.1891542068;16360440.4592134800;-7903910.0962760234;17897580.0364913420;19275795.3114154970;19.6502744515;7790364.1193076307;7745370.6570355836;23019519.4816559780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45328.000000;20715183.8614592220;108.1089617078;-3630484.4317256077;13609044.7403694340;21263892.1070233470;21469605.9781033430;-631.0618210774;7003081.1426023031;22804116.8793388460;9169775.7326956764;;;;;;;;;;;;;;;;;;;;;;;;;;23625955.9555743220;696.8978007357;-13070541.5391009710;-3344184.2072982863;21705325.0186117510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21230156.9515733090;238.9836091016;16362892.1296413760;-7903936.9519633241;17895321.3535949440;19275815.6560503390;20.3794180038;7788695.8612009706;7748046.7232371345;23019179.3423093110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45329.000000;20715292.6451822330;108.8537733932;-3631869.0715962434;13606480.9392644000;21265298.2975831180;21468975.6232743780;-630.3772819348;7002691.4250478921;22802914.7942271610;9173073.6381873004;;;;;;;;;;;;;;;;;;;;;;;;;;23626653.4414172360;697.5562451501;-13071987.4521229080;-3346765.7547523389;21704049.5818198100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21230396.6827666420;239.7191063048;16365343.4900024980;-7903964.0172861209;17893062.2406089310;19275836.6812620830;21.0611245103;7787027.8477299716;7750722.8880176535;23018838.6500694160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45330.000000;20715402.0791729580;109.5474671930;-3633254.0174553320;13603917.0857464300;21266703.9772264510;21468345.8589946070;-629.7581336203;7002301.4021819420;22801712.3427864020;9176371.3244634271;;;;;;;;;;;;;;;;;;;;;;;;;;23627351.5518905520;698.1522633488;-13073433.4990734070;-3349347.0292430422;21702773.6267607920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21230637.1300014820;240.4003532910;16367794.5403328630;-7903991.2921991041;17890802.6978118270;19275858.2917642370;21.6881398325;7785360.0790519509;7753399.1510665426;23018497.4049722550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45331.000000;20715512.1516107730;110.1841971484;-3634639.2692848006;13601353.1797961130;21268109.1460878070;21467716.6544051690;-629.1958319764;7001911.0739580877;22800509.5249712800;9179668.7915584482;;;;;;;;;;;;;;;;;;;;;;;;;;23628050.1350753230;698.6856387719;-13074879.6798861310;-3351928.0305924164;21701497.1535201220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21230878.1015387360;241.0223797896;16370245.2804451270;-7904018.7767683417;17888542.7250318750;19275880.5187255780;22.2565175368;7783692.5551002892;7756075.5122985346;23018155.6069977880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45332.000000;20715622.7551716750;110.7686560114;-3636024.8271224927;13598789.2216168380;21269513.8039666340;21467088.0014527850;-628.6761710543;7001520.4402745236;22799306.3408492920;9182966.0393939316;;;;;;;;;;;;;;;;;;;;;;;;;;23628749.1835813560;699.1725678139;-13076325.9944941380;-3354508.7590669841;21700220.1620164440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21231119.6747037510;241.5956405077;16372695.7102625110;-7904046.4708361877;17886282.3224357740;19275903.2664445790;22.7532435165;7782025.2759758700;7758751.9718513135;23017813.2561817730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45333.000000;20715734.0002748000;111.3446770550;-3637410.6908385083;13596225.2111912800;21270917.9509401730;21466459.8584800140;-628.1547486861;7001129.5011408422;22798102.7904879530;9186263.0678914487;;;;;;;;;;;;;;;;;;;;;;;;;;23629448.7755211850;699.6674639775;-13077772.4428297320;-3357089.2141531650;21698942.6524470820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21231361.8175110440;242.1666046179;16375145.8298194730;-7904074.3744677538;17884021.4900772530;19275926.4817148370;23.2546459061;7780358.2416684590;7761428.5293061193;23017470.3525043430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45334.000000;20715845.7854530510;111.8589044875;-3638796.8605259201;13593661.1487218530;21272321.5869750080;21465832.1826136260;-627.7067809091;7000738.2565106768;22796898.8740646280;9189559.8769730590;;;;;;;;;;;;;;;;;;;;;;;;;;23630148.7424928210;700.0895846458;-13079219.0247168840;-3359669.3960078377;21697664.6247300880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21231604.4740174260;242.6744862833;16377595.6389290750;-7904102.4875062909;17881760.2280096370;19275950.1743363030;23.6924491209;7778691.4522789810;7764105.1849093223;23017126.8960011530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
